URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/d-maris-an-phu-4230,D’Maris - An Phú,"Tầng 6, Tòa nhà Cantavil Premier, Số 1 Song Hành, Xa Lộ Hà Nội, P. An Phú, Q. 2",Buffet Á - Âu,440.000 - 590.000,T2 – T6: 11h30 – 22h00 và  T7 – CN:  11h00 – 22h00,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/d-maris-an-phu-4230,,,,,,,,"Đặt tiệc, liên hoan, gia đình, bạn bè, sinh nhật…","Steak, Hải sản, Sushi, Bakery…","Phong cách Âu, sang trọng", 750 khách,"- Thương hiệu buffet quốc tế cao cấp D’Maris ra đời năm 2007 tại Hàn Quốc. Có mặt lần đầu tại TPHCM năm 2016 & Hà Nội năm 2018.
- Mỗi chi nhánh đều sở hữu quy mô hơn 3000 m2 cùng hơn 200 món ăn vô cùng đa dạng đến từ khắp nơi trên thế giới.",,,,,,,,,106.746953,10.801467,
https://pasgo.vn/nha-hang/d-maris-an-phu-4230,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,
https://pasgo.vn/nha-hang/d-maris-an-phu-4230,,,,,,,,,,,,,,,Chỗ để xe ô tô,Tầng hầm của tòa nhà (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/d-maris-an-phu-4230,,,,,,,,,,,,,,,Chỗ để xe máy,Tầng hầm của tòa nhà (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/d-maris-an-phu-4230,,,,,,,,,,,,,,,,,THỨ HAI,11:30,22:00,,,,
https://pasgo.vn/nha-hang/d-maris-an-phu-4230,,,,,,,,,,,,,,,,,THỨ BA,11:30,22:00,,,,
https://pasgo.vn/nha-hang/d-maris-an-phu-4230,,,,,,,,,,,,,,,,,THỨ TƯ,11:30,22:00,,,,
https://pasgo.vn/nha-hang/d-maris-an-phu-4230,,,,,,,,,,,,,,,,,THỨ NĂM,11:30,22:00,,,,
https://pasgo.vn/nha-hang/d-maris-an-phu-4230,,,,,,,,,,,,,,,,,THỨ SÁU,11:30,22:00,,,,
https://pasgo.vn/nha-hang/d-maris-an-phu-4230,,,,,,,,,,,,,,,,,THỨ BẢY,11:00,22:00,,,,
https://pasgo.vn/nha-hang/d-maris-an-phu-4230,,,,,,,,,,,,,,,,,CHỦ NHẬT,11:00,22:00,,,,
https://pasgo.vn/nha-hang/d-maris-an-phu-4230,,,,,,,,,,,,,,,,,,,,nha-hang-dmaris-an-phu-1: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-dmaris-an-phu-1-normal-1817759349102.webp,,,
