URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/nha-hang-sushi-kei-sc-vivocity-2526,Sushi Kei - SC VivoCity,"Gian hàng Lô 03-24b, Tầng 3, TTTM SC Vivocity - Dự án TTTM Dịch Vụ Giải Trí Nam Sài Gòn, số 1058 Nguyễn Văn Linh, Khu phố 1, Phường Tân Phong, Quận 7",Gọi món Nhật Bản,200.000 - 350.000,10h00 – 22h00,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-sushi-kei-sc-vivocity-2526,,,,,,,,"Khách hàng văn phòng, gia đình, bạn bè, họp nhóm…","Sườn non bò Mỹ rút xương sốt Bulgogi, Dẻ sườn bò Mỹ nướng sốt bào ngư, Chóp vai bò Mỹ nướng sốt Shoyu, Lưỡi bò Mỹ rắc muối Nhật, Tôm sú sốt sa tế tỏi, Cá lăng phi lê nướng muối ớt, Cá hồi phi lê sốt Teriyaki...","Trẻ trung, hiện đại", 200 khách,"- Menu hoành tráng với hơn 130 món ăn và các loại nước chấm mang đậm phong cách của các thành phố nổi bật.
- 5 vị lẩu đặc sắc: Lẩu kim chi, Lẩu xí quách, Lẩu nấm, Lẩu Thái, Lẩu Chanko",,,,,,,,,106.70351,10.729814,
https://pasgo.vn/nha-hang/nha-hang-sushi-kei-sc-vivocity-2526,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-sushi-kei-sc-vivocity-2526,,,,,,,,,,,,,,,Chỗ để xe ô tô,Để xe bên hông nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/nha-hang-sushi-kei-sc-vivocity-2526,,,,,,,,,,,,,,,Chỗ để xe máy,Để xe bên hông nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/nha-hang-sushi-kei-sc-vivocity-2526,,,,,,,,,,,,,,,,,THỨ HAI,10:00,22:00,,,,
https://pasgo.vn/nha-hang/nha-hang-sushi-kei-sc-vivocity-2526,,,,,,,,,,,,,,,,,THỨ BA,10:00,22:00,,,,
https://pasgo.vn/nha-hang/nha-hang-sushi-kei-sc-vivocity-2526,,,,,,,,,,,,,,,,,THỨ TƯ,10:00,22:00,,,,
https://pasgo.vn/nha-hang/nha-hang-sushi-kei-sc-vivocity-2526,,,,,,,,,,,,,,,,,THỨ NĂM,10:00,22:00,,,,
https://pasgo.vn/nha-hang/nha-hang-sushi-kei-sc-vivocity-2526,,,,,,,,,,,,,,,,,THỨ SÁU,10:00,22:00,,,,
https://pasgo.vn/nha-hang/nha-hang-sushi-kei-sc-vivocity-2526,,,,,,,,,,,,,,,,,THỨ BẢY,10:00,22:00,,,,
https://pasgo.vn/nha-hang/nha-hang-sushi-kei-sc-vivocity-2526,,,,,,,,,,,,,,,,,CHỦ NHẬT,10:00,22:00,,,,
https://pasgo.vn/nha-hang/nha-hang-sushi-kei-sc-vivocity-2526,,,,,,,,,,,,,,,,,,,,nha-hang-sushi-kei-sc-vivocity-1: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-sushi-kei-sc-vivocity-1-normal-322708725631.webp,,,
https://pasgo.vn/nha-hang/nha-hang-sushi-kei-sc-vivocity-2526,,,,,,,,,,,,,,,,,,,,nha-hang-sushi-kei-sc-vivocity-2: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-sushi-kei-sc-vivocity-2-normal-322709025632.webp,,,
https://pasgo.vn/nha-hang/nha-hang-sushi-kei-sc-vivocity-2526,,,,,,,,,,,,,,,,,,,,nha-hang-sushi-kei-sc-vivocity-3: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-sushi-kei-sc-vivocity-3-normal-322709325633.webp,,,
https://pasgo.vn/nha-hang/nha-hang-sushi-kei-sc-vivocity-2526,,,,,,,,,,,,,,,,,,,,nha-hang-sushi-kei-sc-vivocity-4: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-sushi-kei-sc-vivocity-4-normal-322709625634.webp,,,
https://pasgo.vn/nha-hang/nha-hang-sushi-kei-sc-vivocity-2526,,,,,,,,,,,,,,,,,,,,nha-hang-sushi-kei-sc-vivocity-5: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-sushi-kei-sc-vivocity-5-normal-322709925635.webp,,,
https://pasgo.vn/nha-hang/nha-hang-sushi-kei-sc-vivocity-2526,,,,,,,,,,,,,,,,,,,,nha-hang-sushi-kei-sc-vivocity-6: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-sushi-kei-sc-vivocity-6-normal-322710625636.webp,,,
