URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/oc-ghe-rooftop-tran-quang-khai-5188,Ốc Ghe Rooftop - Trần Quang Khải,"124 Trần Quang Khải, P. Tân Định, Q. 1",Gọi món Việt,150.000 - 250.000,15h00 - 1h00,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/oc-ghe-rooftop-tran-quang-khai-5188,,,,,,,,"Tụ họp, gặp mặt, họp nhóm, sinh nhật, gia đình...","Fresh Cherabin Spaghetti, Salmon Steak, Ontama Bolognese Spaghetti, Pesto Seafood, Cheese Platter, Ceasar Salad…",Italia hiện đại, 80 khách,"Basta Hiro được sáng lập bởi Hiromi Yamada - đầu bếp nổi tiếng người Nhật với tài năng đặc biệt trong việc sáng tạo các món Ý. Là người đã viết ra hàng chục cuốn sách về món Ý, ông là một trong những đầu bếp huyền thoại góp phần mang lại sự kết hợp tinh tế giữa hai phong cách Ý - Nhật.",,,,,,,,,106.692024388807,10.7921708501045,
https://pasgo.vn/nha-hang/oc-ghe-rooftop-tran-quang-khai-5188,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,
https://pasgo.vn/nha-hang/oc-ghe-rooftop-tran-quang-khai-5188,,,,,,,,,,,,,,,Chỗ để xe ô tô,Để xe tại tầng hầm của TTTM (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/oc-ghe-rooftop-tran-quang-khai-5188,,,,,,,,,,,,,,,Chỗ để xe máy,Để xe tại tầng hầm của TTTM (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/oc-ghe-rooftop-tran-quang-khai-5188,,,,,,,,,,,,,,,,,Thứ hai,15:00,23:59,,,,
https://pasgo.vn/nha-hang/oc-ghe-rooftop-tran-quang-khai-5188,,,,,,,,,,,,,,,,,Thứ ba,15:00,23:59,,,,
https://pasgo.vn/nha-hang/oc-ghe-rooftop-tran-quang-khai-5188,,,,,,,,,,,,,,,,,Thứ tư,15:00,23:59,,,,
https://pasgo.vn/nha-hang/oc-ghe-rooftop-tran-quang-khai-5188,,,,,,,,,,,,,,,,,Thứ năm,15:00,23:59,,,,
https://pasgo.vn/nha-hang/oc-ghe-rooftop-tran-quang-khai-5188,,,,,,,,,,,,,,,,,Thứ sáu,15:00,23:59,,,,
