URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/shamoji-robata-yaki-dong-khoi-2745,Shamoji Robata Yaki – Đồng Khởi,"Số 08 Đồng Khởi, P. Bến Nghé, Q. 1",Gọi món Nhật Bản,500.000 - 700.000,10h30 - 14h00 & 17h00 - 23h59,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/shamoji-robata-yaki-dong-khoi-2745,,,,,,,,KHÔNG GIAN:,- Không gian truyền thống đầy màu sắc đậm chất làng chài cổ Nhật Bản,,100 khách,,,,,,,,,,106.7050937,10.7742636,
https://pasgo.vn/nha-hang/shamoji-robata-yaki-dong-khoi-2745,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,
https://pasgo.vn/nha-hang/shamoji-robata-yaki-dong-khoi-2745,,,,,,,,,,,,,,,,,THỨ HAI,17:00,23:59,,,,
https://pasgo.vn/nha-hang/shamoji-robata-yaki-dong-khoi-2745,,,,,,,,,,,,,,,,,THỨ BA,17:00,23:59,,,,
https://pasgo.vn/nha-hang/shamoji-robata-yaki-dong-khoi-2745,,,,,,,,,,,,,,,,,THỨ TƯ,17:00,23:59,,,,
https://pasgo.vn/nha-hang/shamoji-robata-yaki-dong-khoi-2745,,,,,,,,,,,,,,,,,THỨ NĂM,17:00,23:59,,,,
https://pasgo.vn/nha-hang/shamoji-robata-yaki-dong-khoi-2745,,,,,,,,,,,,,,,,,THỨ SÁU,17:00,23:59,,,,
https://pasgo.vn/nha-hang/shamoji-robata-yaki-dong-khoi-2745,,,,,,,,,,,,,,,,,THỨ BẢY,17:00,23:59,,,,
https://pasgo.vn/nha-hang/shamoji-robata-yaki-dong-khoi-2745,,,,,,,,,,,,,,,,,CHỦ NHẬT,17:00,23:59,,,,
