URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/sorae-sushi-saigon-977,Sorae Sushi Saigon,"Tầng 24-25, AB Tower, 76A Lê Lai, P. Bến Thành, Q.1",Món Nhật,500.000 – 530.000 vn,12h00 – 14h00; 18h00 – 00h30,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/sorae-sushi-saigon-977,,,,,,,,"Khách hàng doanh nhân, công ty, gia đình, cặp đôi…","Wagyu Striploin 5 nướng, Pate Gan Ngỗng Pháp cùng nấm Truffle, Cá tuyết nướng Miso, Mì ý Tôm sốt cay, Cá hồi tẩm củ dền, Sò điệp áp chảo sốt Teriyaki, Bánh phô mai kem Ý,…","Phong cách điện ảnh châu Âu, sang trọng", 70 khách,"- The Dome là nhà hàng Âu mang phong cách cinematic (phong cách điện ảnh) đầu tiên tại Sài Gòn.
- Trải nghiệm ẩm thực đỉnh cao cùng bò Wagyu Úc thượng hạng, thực đơn món Âu độc đáo với các nguyên liệu nhập khẩu trực tiếp từ Ý, Pháp, Na Uy,... trong không gian tráng lệ như các tác phẩm điện ảnh kinh điển.",,,,,,,,,106.694369,10.770444,
https://pasgo.vn/nha-hang/sorae-sushi-saigon-977,,,,,,,,,,,,,,,Chỗ để xe ô tô,Bãi xe của tòa nhà (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/sorae-sushi-saigon-977,,,,,,,,,,,,,,,Chỗ để xe máy,Bãi xe của tòa nhà (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/sorae-sushi-saigon-977,,,,,,,,,,,,,,,,,THỨ HAI,12:00,14:00,,,,
https://pasgo.vn/nha-hang/sorae-sushi-saigon-977,,,,,,,,,,,,,,,,,THỨ BA,12:00,14:00,,,,
https://pasgo.vn/nha-hang/sorae-sushi-saigon-977,,,,,,,,,,,,,,,,,THỨ TƯ,12:00,14:00,,,,
https://pasgo.vn/nha-hang/sorae-sushi-saigon-977,,,,,,,,,,,,,,,,,THỨ NĂM,12:00,14:00,,,,
https://pasgo.vn/nha-hang/sorae-sushi-saigon-977,,,,,,,,,,,,,,,,,THỨ SÁU,12:00,14:00,,,,
https://pasgo.vn/nha-hang/sorae-sushi-saigon-977,,,,,,,,,,,,,,,,,THỨ BẢY,12:00,14:00,,,,
https://pasgo.vn/nha-hang/sorae-sushi-saigon-977,,,,,,,,,,,,,,,,,CHỦ NHẬT,12:00,14:00,,,,
https://pasgo.vn/nha-hang/sorae-sushi-saigon-977,,,,,,,,,,,,,,,,,,,,nha-hang-sorae-sushi-saigon-2a: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-sorae-sushi-saigon-2a-normal-12101665653.webp,,,
https://pasgo.vn/nha-hang/sorae-sushi-saigon-977,,,,,,,,,,,,,,,,,,,,nha-hang-sorae-sushi-saigon-9a: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-sorae-sushi-saigon-9a-normal-12155875654.webp,,,
https://pasgo.vn/nha-hang/sorae-sushi-saigon-977,,,,,,,,,,,,,,,,,,,,nha-hang-sorae-sushi-saigon-4a: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-sorae-sushi-saigon-4a-normal-12154025655.webp,,,
https://pasgo.vn/nha-hang/sorae-sushi-saigon-977,,,,,,,,,,,,,,,,,,,,nha-hang-sorae-sushi-saigon-7a: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-sorae-sushi-saigon-7a-normal-12154995656.webp,,,
https://pasgo.vn/nha-hang/sorae-sushi-saigon-977,,,,,,,,,,,,,,,,,,,,nha-hang-sorae-sushi-saigon-24a: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-sorae-sushi-saigon-24a-normal-12056985657.webp,,,
https://pasgo.vn/nha-hang/sorae-sushi-saigon-977,,,,,,,,,,,,,,,,,,,,nha-hang-sorae-sushi-saigon-22a: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-sorae-sushi-saigon-22a-normal-12151125658.webp,,,
https://pasgo.vn/nha-hang/sorae-sushi-saigon-977,,,,,,,,,,,,,,,,,,,,nha-hang-sorae-sushi-saigon-17a: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-sorae-sushi-saigon-17a-normal-12146245659.webp,,,
https://pasgo.vn/nha-hang/sorae-sushi-saigon-977,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/chuoiannamquan/1.jpg
https://pasgo.vn/nha-hang/sorae-sushi-saigon-977,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/chuoiannamquan/2.jpg
https://pasgo.vn/nha-hang/sorae-sushi-saigon-977,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/chuoiannamquan/3.jpg
https://pasgo.vn/nha-hang/sorae-sushi-saigon-977,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/chuoiannamquan/4.jpg
https://pasgo.vn/nha-hang/sorae-sushi-saigon-977,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/chuoiannamquan/5.jpg
https://pasgo.vn/nha-hang/sorae-sushi-saigon-977,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/chuoiannamquan/6.jpg
https://pasgo.vn/nha-hang/sorae-sushi-saigon-977,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/chuoiannamquan/7.jpg
https://pasgo.vn/nha-hang/sorae-sushi-saigon-977,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/chuoiannamquan/8.jpg
https://pasgo.vn/nha-hang/sorae-sushi-saigon-977,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/chuoiannamquan/9.jpg
https://pasgo.vn/nha-hang/sorae-sushi-saigon-977,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/chuoiannamquan/10.jpg
https://pasgo.vn/nha-hang/sorae-sushi-saigon-977,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/chuoiannamquan/11.jpg
https://pasgo.vn/nha-hang/sorae-sushi-saigon-977,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/chuoiannamquan/12.jpg
