URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/matsuri-japanese-restaurant-nguyen-hue-5602,Matsuri Japanese Restaurant - Nguyễn Huệ,"Số 3,5,7 Nguyễn Huệ, P. Bến Nghé,Q. 1",Gọi món Nhật Bản,250.000 - 300.000,11h00 - 22h00,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/matsuri-japanese-restaurant-nguyen-hue-5602,,,,,,,,"Tụ họp, gặp mặt, liên hoan, họp nhóm, gia đình....","- Thịt sườn bò Wagyu Australian, Thịt mông bò Wagyu Australian, Nạc vai bò Australian thượng hạng, Nạc vai bò Mỹ,...
- Nhúng lẩu: Nấm hải sản, Nấm bào ngư, Nấm sò, Nấm hương, Nấm kim châm",Nhật Bản, 130 khách,On-Yasai nằm trong chuỗi nhà hàng nổi tiếng tại Nhật Bản thuộc sở hữu của tập đoàn Colowide - tập đoàn về kinh doanh nhà hàng có quy mô đứng đầu tại Nhật Bản,,,,,,,,,106.705882380503,10.7716546145822,
https://pasgo.vn/nha-hang/matsuri-japanese-restaurant-nguyen-hue-5602,,,,,,,,,,,,,Phòng riêng,01 phòng (40 khách),,,,,,,,,
https://pasgo.vn/nha-hang/matsuri-japanese-restaurant-nguyen-hue-5602,,,,,,,,,,,,,,,Chỗ để xe ô tô & xe máy,"Gửi tại tầng hầm 22 Lê Thánh Tôn, đối diện nhà hàng (Phí phụ thuộc đơn vị trông giữ xe)",,,,,,,
https://pasgo.vn/nha-hang/matsuri-japanese-restaurant-nguyen-hue-5602,,,,,,,,,,,,,,,,,Thứ hai,11:00,22:00,,,,
https://pasgo.vn/nha-hang/matsuri-japanese-restaurant-nguyen-hue-5602,,,,,,,,,,,,,,,,,Thứ ba,11:00,22:00,,,,
https://pasgo.vn/nha-hang/matsuri-japanese-restaurant-nguyen-hue-5602,,,,,,,,,,,,,,,,,Thứ tư,11:00,22:00,,,,
https://pasgo.vn/nha-hang/matsuri-japanese-restaurant-nguyen-hue-5602,,,,,,,,,,,,,,,,,Thứ năm,11:00,22:00,,,,
https://pasgo.vn/nha-hang/matsuri-japanese-restaurant-nguyen-hue-5602,,,,,,,,,,,,,,,,,Thứ sáu,11:00,22:00,,,,
https://pasgo.vn/nha-hang/matsuri-japanese-restaurant-nguyen-hue-5602,,,,,,,,,,,,,,,,,Thứ bảy,11:00,22:00,,,,
https://pasgo.vn/nha-hang/matsuri-japanese-restaurant-nguyen-hue-5602,,,,,,,,,,,,,,,,,Chủ nhật,11:00,22:00,,,,
https://pasgo.vn/nha-hang/matsuri-japanese-restaurant-nguyen-hue-5602,,,,,,,,,,,,,,,,,,,,nha-hang-matsuri-japanese-restaurant-nguyen-hue-1: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-matsuri-japanese-restaurant-nguyen-hue-1-normal-2589670567662.webp,,,
https://pasgo.vn/nha-hang/matsuri-japanese-restaurant-nguyen-hue-5602,,,,,,,,,,,,,,,,,,,,nha-hang-matsuri-japanese-restaurant-nguyen-hue-2: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-matsuri-japanese-restaurant-nguyen-hue-2-normal-2589670667663.webp,,,
