URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,Quán Bụi - Lê Thánh Tôn,"222 - 224 Lê Thánh Tôn, P. Bến Thành, Q. 1",Gọi món Việt,250.000 - 350.000,07h00 - 23h00,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,"Họp mặt bạn bè, liên hoan, đặt tiệc, gia đình, tiếp khách…","Cháo ếch Singapore, Cua sốt ớt Singapore, Các món cari, Các món Sambal, Hải sản tươi sống…",Phong cách kiến trúc Âu – Á, 200 khách (2 tầng),Giữ nguyên hương vị truyền thống Singapore và sự kết hợp hài hòa với các nền văn hóa ẩm thực đa dạng.,,,,,,,,,106.696595117789,10.7726203524077,
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,Chỗ để xe ô tô,Bãi giữ xe cách nhà hàng 100m (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,Chỗ để xe máy,Trước cửa nhà hàng (Miễn phí),,,,,,,
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,Thứ hai,07:00,23:00,,,,
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,Thứ ba,07:00,23:00,,,,
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,Thứ tư,07:00,23:00,,,,
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,Thứ năm,07:00,23:00,,,,
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,Thứ sáu,07:00,23:00,,,,
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,Thứ bảy,07:00,23:00,,,,
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,Chủ nhật,07:00,23:00,,,,
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,Slide bụi 1: https://pasgo.vn/Upload/anh-chi-tiet/slide-bui-1-normal-2280081960777.webp,,,
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,Slide bụi 2: https://pasgo.vn/Upload/anh-chi-tiet/slide-bui-2-normal-2280082060778.webp,,,
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,Slide bụi 3: https://pasgo.vn/Upload/anh-chi-tiet/slide-bui-3-normal-2280083260779.webp,,,
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,Slide bụi 4: https://pasgo.vn/Upload/anh-chi-tiet/slide-bui-4-normal-2280083360780.webp,,,
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,Slide bụi 5: https://pasgo.vn/Upload/anh-chi-tiet/slide-bui-5-normal-2280083460781.webp,,,
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,Slide bụi 6: https://pasgo.vn/Upload/anh-chi-tiet/slide-bui-6-normal-2280083560782.webp,,,
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,Slide bụi 7: https://pasgo.vn/Upload/anh-chi-tiet/slide-bui-7-normal-2280083660783.webp,,,
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,Slide bụi 8: https://pasgo.vn/Upload/anh-chi-tiet/slide-bui-8-normal-2280083760784.webp,,,
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,Slide bụi 9: https://pasgo.vn/Upload/anh-chi-tiet/slide-bui-9-normal-2280083860785.webp,,,
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,Slide bụi 10: https://pasgo.vn/Upload/anh-chi-tiet/slide-bui-10-normal-2280083960786.webp,,,
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,Slide bụi 11: https://pasgo.vn/Upload/anh-chi-tiet/slide-bui-11-normal-2280084060787.webp,,,
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,Slide bụi 12: https://pasgo.vn/Upload/anh-chi-tiet/slide-bui-12-normal-2280084160788.webp,,,
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-1.jpg
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-2.jpg
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-3.jpg
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-4.jpg
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-5.jpg
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-6.jpg
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-7.jpg
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-8.jpg
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-9.jpg
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-10.jpg
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-11.jpg
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-12.jpg
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-13.jpg
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-14.jpg
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-15.jpg
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-16.jpg
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-17.jpg
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-18.jpg
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-19.jpg
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-20.jpg
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-21.jpg
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-22.jpg
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-23.jpg
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-24.jpg
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-25.jpg
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-26.jpg
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-27.jpg
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-28.jpg
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-29.jpg
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-30.jpg
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-31.jpg
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-32.jpg
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-33.jpg
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-34.jpg
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-35.jpg
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-36.jpg
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-37.jpg
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-38.jpg
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-39.jpg
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-40.jpg
https://pasgo.vn/nha-hang/quan-bui-le-thanh-ton-5190,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-41.jpg
